Date,Ticker,Shares,Name,Portfolio_name
2020-01-03,NOK,16000,Nokia,Portfolio Joshua
2020-01-03,AAPL,320,Apple Inc,Portfolio Joshua
2020-01-03,ARCC,2050,Ares Capital Corporation,Portfolio Joshua
2020-01-03,SPG,500,Simon Property Group,Portfolio Joshua
2020-01-03,EPD,1900,Enterprise Products Partners,Portfolio Joshua
2020-01-03,MSFT,120,Microsoft Corporation,Portfolio Joshua
2020-01-03,ABBV,350,AbbVie Inc,Portfolio Joshua
2020-01-03,JNJ,460,Johnson & Johnson,Portfolio Joshua
2020-01-03,MO,950,Altria Group Inc,Portfolio Joshua
2020-01-03,PM,500,Philip Morris International,Portfolio Joshua
2020-01-03,MCD,200,McDonald’s Corporation,Portfolio Joshua
2020-01-03,AGNC,5050,AGNC Investment Corp,Portfolio Joshua
2020-01-03,LMT,130,Lockheed Martin Corporation,Portfolio Joshua
2022-02-01,GOOGL,120,Alphabet Inc,Portfolio Jessica
2022-02-01,F,350,Ford,Portfolio Jessica
2022-02-01,JNJ,160,Johnson & Johnson,Portfolio Jessica
2022-02-01,T,4200,ATT,Portfolio Jessica
2022-02-01,PM,200,Philip Morris International,Portfolio Jessica
2022-02-01,MCD,200,McDonald’s Corporation,Portfolio Jessica
2022-02-01,TSLA,80,Tesla,Portfolio Jessica
2022-02-01,NVDA,340,Nvidia,Portfolio Jessica
2020-01-03,AGNC,2000,AGNC Investment Corp,Portfolio High Bill
2020-01-03,NLY,2000,Annaly Capital Management,Portfolio High Bill
2020-01-03,ARCC,1000,Ares Capital Corporation,Portfolio High Bill
2020-01-03,FSK,1200,FS KKR Capital Corp,Portfolio High Bill
2020-01-03,DX,1200,Dynex Capital,Portfolio High Bill
2020-01-03,PFLT,1400,PennantPark Floating Rate Capital,Portfolio High Bill
